,date,hour,tweet,linea,estacion
88,07/Nov/2019,21:45:53,"Hoy @GoodbyeSailor en el @MetroCDMX a las 3:30 pm, los vemos en la estación COPILCO para armar un fiestón. https://t.co/3sFKksZWMV",3 ,COPILCO 
89,07/Nov/2019,21:46:23,Porque la línea 3 del @MetroCDMX es tan nefasta ????,3 ,
90,07/Nov/2019,21:46:26,@VILLALVAZO13 @MetroCDMX @HMeridiano @AztecaNoticias @AztecaUno por esa gente tan piche imprudente todo se va al caño no teneos la culpa de sus actos pendejos y todos lleguemos tarde.,,
91,07/Nov/2019,21:46:29,@VILLALVAZO13 @MetroCDMX @HMeridiano @AztecaNoticias @AztecaUno Y aparte es Cortie te directa 😱,,
92,07/Nov/2019,21:46:53,"¡Recuerda! La nueva Tarjeta de Movilidad Integrada de la ciudad tiene un costo de 5 pesos en taquillas del @MetroCDMX.

Más información 👉 https://t.co/iFn9miLPpf

#UnaCiudadUnSistema | #MásYMejorMovilidad https://t.co/4uOygoK4Co",5 ,
93,07/Nov/2019,21:47:36,"Generalmente estamos reportando fallas del @MetroCDMX pero también se debe reconocer que corredores de algunas estaciones se les está dando un buen uso social, aquí en @MetroCDMXL12 la Orquesta de @SEDENAmx mostrando su rostro humano. https://t.co/9rFXnpJGAI",,
94,07/Nov/2019,21:49:02,"NO le jueguen al #Tururú...

Un toque en la casa es de 110 voltios.
En el trabajo alcanza los 220.
Con cualquier de los dos, sientes morir.

En el @MetroCDMX, el “llegue” es de 750 voltios. ¡Te mata de una!

Detalles a las 2 en @HMeridiano @AztecaNoticias @AztecaUno https://t.co/EAwoSYM9Ir",2 ,
95,07/Nov/2019,21:49:03,@MetroCDMX Qué pasa en la Línea 3? Se para en cada estación más de 5 minutos 😡,3 5 ,
96,07/Nov/2019,21:49:50,@MetroCDMX Chulita 😘,,
97,07/Nov/2019,21:51:49,"@MetroCDMX Esa linea3 no avanza, vamos",linea3 ,
