,Unnamed: 0,date,hour,tweet,linea,estacion
44,44,14/Nov/2019,19:25:07,"¡Que alguien me explique! y no es el único, en la estación 18 de marzo tiene otro de estos negocitos nuevos ... Se pasan!! @FirenzeM  @Metro_CDMX la pura burla con ustedes 😠 https://t.co/2vNhNCvcpH",,
45,45,14/Nov/2019,19:25:18,"@ColBellavistaAO @solecito08 @MetroCDMX @UCS_GCDMX @SSP_CDMX @vromog Por supuesto que @AlcaldiaMHmx  ¡RECIBE!💰💰💰

¡De todos los ambulantes de paradero Tacubaya y alrededores...!

¿CUÁNTO DINERO SE LLEVARÁN?

Y...la FERIA EN PLAZA CHARLES DE GAULLE! Tiene como 60 añotes oliendo a 💩💩💩💩y orines🤬🤬🤬🤬
 
¿CUANDO SE VERÁ LIMPIO ESE LUGAR?",linea1 ,Tacubaya Tacubaya Tacubaya 
46,46,14/Nov/2019,19:25:35,"Con punto de acuerdo exhortamos a la titular del Sistema de Transporte Colectivo @MetroCDMX, brinde a los miembros de Comités Vecinales su derecho a la gratuidad.

#MiPasiónSERVIR #CambiosReales #HéctorBarrera #TodosSomosHB #SíHayDeOtra https://t.co/akPpjJRway",,
47,47,14/Nov/2019,19:25:48,"@MetroCDMX cuáles obras???, lleva más de un mes descompuesta y no veo a nadie que esté ahí!!! La sra  con trabajo y sube la escalera, ya arreglenla por favor no es poco el dinero que entra en esta estación. Balderas dirección pantitlan. https://t.co/nbRBfHbnFe",linea1 ,Balderas Balderas 
48,48,14/Nov/2019,19:26:08,"@MetroCDMX Alguien sabe que está pasando en la línea 2, no avanza y esta super llena",2 ,
49,49,14/Nov/2019,19:26:20,"🔵 Luego que se aprobara la gratuidad en el @MetroCDMX para integrantes de Comités Ciudadanos a petición de @HectorBarrera_, nuestro diputado pide a @FirenzeM aplicar a la brevedad esta determinación. https://t.co/HdYRuNnvGs",,
50,50,14/Nov/2019,19:27:07,"Presidenta de la @CDHDF, @NashieliRamirez, urge se emita recomendaciones al @GobCDMX por violaciones a #DerechosHumanos que ocasionaron el deceso de María Guadalupe, en las instalaciones del @MetroCDMX. 👇🏻 https://t.co/VJWGl2dLlv",,
51,51,14/Nov/2019,19:27:08,"El @MetroCDMX no me gusta porque tienes que ir todo apretado y bajo tierra. Me caga que los peseros sean inseguros y neta te juegas la vida tomándolos, pero me gustan más porque vas pendejeando y viendo todo.",,
52,52,14/Nov/2019,19:28:19,"#LaPolicíaAuxiliarTeCuida. Esta mañana los efectivos del GFR, adscritos al #Sector54 Base Murciélago, detuvieron a un masculino por posesión de hierba verde seca, con características propias de marihuana. @MetroCDMX, #Pantitlán #PolicíaAuxiliar #ComunidadPA #Detención #Seguridad https://t.co/yW3TqFMmCq",verde ,
53,53,14/Nov/2019,19:30:44,"@MetroCDMX Todos los días, cerca de las 10pm en la Linea 5 dirección Pantitlan, se suben 3 sujetos a pedir dinero de una manera en la cual intentan intimidar.",linea1 3 5 ,Pantitlan Pantitlan Pantitlan Pantitlan 
54,54,14/Nov/2019,19:31:35,@MetroCDMX un amigo lleva desde las nueve detenido por que movió una cámara del metro y los policías no saben ni qué hacer. Pueden ayudar para no perder en el proceso todo el día.,,
55,55,14/Nov/2019,19:33:34,"Esto es lo que pasa en el INCADE, los negocios de @FirenzeM y NAHUM LEAL contratan gente externa que no tienen ni idea de lo que es el @metrocdmx ni de como se trabaja, el fin es llenarse los bolsillos a costa de lo que sea. Por eso hay tantas fallas. Chequen esto 👀 @maveruko https://t.co/XzAAJTcS3w",,
56,56,14/Nov/2019,19:33:45,@alesandroalv @MetroCDMX @arnemx usted que siempre nos ayuda que se puede hacer en este caso!!,,
57,57,14/Nov/2019,19:34:09,Ojo aquí .... @MetroCDMX @MetrobusCDMX  @SSP_CDMX NO QUE YA NO SÉ PODRÍA? https://t.co/1Sms0e23Je,,
